part_name,part_number,price_usd,product_url,description_html,tags,category
Samsung DB92-02874A PCB ASSEMBLY SUB,DB92-02874A,53.95,https://samsungparts.com/products/db92-02874a,"<p>This genuine Samsung DB92-02874A PCB ASSEMBLY SUB is the perfect choice for replacing your current part in your device. This original Samsung part comes with a guarantee of quality and reliability, to ensure that your device functions properly and optimally. Enhance the performance of your device with this stylish, long-lasting replacement part from Samsung. Don't settle for anything less than excellence — make sure you have the best with this Samsung original part. Enjoy lasting performance and style without compromising on quality!</p>",gmc;havingImg;subcate:Air Conditioner;types:PCB;webcat:PCB,Air Conditioner
Samsung DB95-04871B Assembly Thermistor Out-Sub Ou,DB95-04871B,101.95,https://samsungparts.com/products/db95-04871b,<p>Samsung DB95-04871B Assembly Thermistor Out-Sub Ou</p>,gmc;havingImg;subcate:Air Conditioner;types:Sensor/ Thermistor/ Thermostat;webcat:Sensor/Thermistor/Thermostat,Air Conditioner
Samsung DB92-03322A Main Pcb Assembly,DB92-03322A,211.95,https://samsungparts.com/products/db92-03322a,"<p>This Samsung DB92-03322A MAIN PCB ASSEMBLY is the perfect replacement part for your Samsung device. This genuine part with Original Part, Replacement part, Genuine Part branding is designed to last and provide reliable performance. With innovative features like long-lasting durability, premium craftsmanship and advanced technology, it ensures optimum performance. Upgrade your device today and make sure you get the best quality product!</p>",gmc;havingImg;subcate:Air Conditioner;types:PCB;webcat:PCB,Air Conditioner
"Samsung DB32-00277A Sensor Temp;103Hw,L400,10Kohm",DB32-00277A,130.95,https://samsungparts.com/products/db32-00277a,"<p>Samsung DB32-00277A Sensor Temp;103Hw,L400,10Kohm</p>",gmc;havingImg;subcate:Air Conditioner;types:SENSOR;webcat:SENSOR,Air Conditioner
Samsung DB95-04871A Assembly Thermistor Out-Sub Ou,DB95-04871A,82.95,https://samsungparts.com/products/db95-04871a,<p>Samsung DB95-04871A Assembly Thermistor Out-Sub Ou</p>,gmc;havingImg;subcate:Air Conditioner;types:Sensor/ Thermistor/ Thermostat;webcat:Sensor/Thermistor/Thermostat,Air Conditioner
Samsung DB95-05164B Assembly Thermistor Out,DB95-05164B,96.95,https://samsungparts.com/products/db95-05164b,<p>Samsung DB95-05164B Assembly Thermistor Out</p>,subcate:Air Conditioner;types:Sensor/ Thermistor/ Thermostat;webcat:Sensor/Thermistor/Thermostat,Air Conditioner
Samsung DB31-00672A Motor Bldc Fan,DB31-00672A,311.95,https://samsungparts.com/products/db31-00672a,"<p>This high-quality Samsung part offers a reliable and efficient way to improve the performance of your device. With a robust construction, this Original Part is designed with durability in mind and delivers premium levels of strength and performance. Combining quality materials with advanced engineering, this Replacement Part provides advanced operation that you can depend on. Genuine Parts provide efficient use and long-lasting results. Don't settle for anything less than the best – get Samsung Original Parts today!</p>",gmc;subcate:Air Conditioner;types:FAN;webcat:FAN,Air Conditioner
Samsung DB94-01550E Assembly Fan Cross,DB94-01550E,152.95,https://samsungparts.com/products/db94-01550e,<p>Samsung DB94-01550E Assembly Fan Cross</p>,gmc;havingImg;subcate:Air Conditioner;types:FAN;webcat:FAN,Air Conditioner
Samsung DB61-04465A Blade-H,DB61-04465A,132.95,https://samsungparts.com/products/db61-04465a,"<p>This genuine OEM Samsung part is a high-quality replacement for your damaged or malfunctioning appliance. It's a reliable, durable product that's been specially designed to provide long-lasting use in your kitchen. With a sturdy construction and modern design, this blade is the perfect addition to your appliance. It offers performance and reliability that you can trust for years to come. Get the most out of your Samsung appliances with this genuine part!</p>",gmc;subcate:Air Conditioner;types:BLADE;webcat:BLADE,Air Conditioner
Samsung DB63-04207A Filter Air Pre Module,DB63-04207A,90.95,https://samsungparts.com/products/db63-04207a,"<p>This original, genuine Samsung part is the perfect replacement or upgrade for your need - offering superior quality and performance so that you can enjoy a reliable and efficient solution. With its anti-allergen filter technology, this module helps to keep the air in your home clean and free from pollutants. Get back to reliable comfort with this dependable air filter pre module from Samsung!</p>",gmc;subcate:Air Conditioner;types:FILTER;webcat:FILTER,Air Conditioner
Samsung DB93-11110A Pcb Assembly Sub-Emi,DB93-11110A,117.95,https://samsungparts.com/products/db93-11110a,<p>Samsung DB93-11110A Pcb Assembly Sub-Emi</p>,subcate:Air Conditioner;types:PCB;webcat:PCB,Air Conditioner
Samsung DB31-00609A Motor Fan,DB31-00609A,246.95,https://samsungparts.com/products/db31-00609a,"<p>This genuine Samsung replacement motor fan is designed to provide reliable, long-lasting performance. With its powerful rotational speed, it efficiently circulates air to keep your appliance running smoothly and efficiently. It is easy to install and comes with all the necessary parts for a hassle-free repair job. Perfect for restoring your appliance back to its original condition, this Samsung replacement part is an excellent choice for ensuring optimal performance.</p>",gmc;havingImg;subcate:Air Conditioner;types:MOTOR FAN;webcat:MOTOR FAN,Air Conditioner
Samsung DB94-04183A Assembly Fan Cross-Total,DB94-04183A,153.95,https://samsungparts.com/products/db94-04183a,"<p>This Samsung DB94-04183A ASSEMBLY FAN CROSS-TOTAL is an original part that is designed and manufactured by the renowned Samsung brand. It offers superior performance and reliability, making it an ideal choice for your repair needs. Constructed with high-quality components, this durable fan cross-total offers reliable performance and long-lasting use. Plus, its sleek design enhances the look of your appliance. This genuine part from Samsung makes repairing your appliance easy and cost effective. You can trust this part to deliver superior performance for years to come. Avoid cheaply made parts and go with a genuine Samsung option - you won't be disappointed!</p>",gmc;havingImg;subcate:Air Conditioner;types:FAN;webcat:FAN,Air Conditioner
Samsung DB95-04811A Assembly Thermistor Out,DB95-04811A,128.95,https://samsungparts.com/products/db95-04811a,"<p>This is a genuine, Original Part replacement for your Samsung device. With its robust construction, reliable performance and accurate functionality, the Samsung DB95-04811A ASSEMBLY THERMISTOR OUT is an ideal fit for your need. Designed with top-notch quality materials and state-of-the-art technology, this part provides superior performance you can count on. Order from the Samsung Parts with Original Part, Replacement part, Genuine Part brands to get a quality product at an unbeatable price!</p>",gmc;havingImg;subcate:Air Conditioner;types:Sensor/ Thermistor/ Thermostat;webcat:Sensor/Thermistor/Thermostat,Air Conditioner
"Samsung DB92-04466A Assembly Pcb Main;Hub,Dvm S,29",DB92-04466A,225.95,https://samsungparts.com/products/db92-04466a,"<p>This Samsung DB92-04466A ASSEMBLY PCB MAIN;HUB,DVM S,29 is a genuine, original replacement part designed to provide reliable and long-lasting performance. It is designed to be an exact fit for your device and is made from high-quality materials that are built to last. Don't settle for inferior parts or compromise on quality - trust in the Original Part, Replacement part and Genuine Part by Samsung Part.</p>",gmc;havingImg;subcate:Air Conditioner;types:PCB;webcat:PCB,Air Conditioner
"Samsung DB32-00272A Sensor Humidity;5V,10-90%Rh,Ac",DB32-00272A,134.95,https://samsungparts.com/products/db32-00272a,"<p>Samsung DB32-00272A Sensor Humidity;5V,10-90%Rh,Ac</p>",gmc;havingImg;subcate:Air Conditioner;types:SENSOR;webcat:SENSOR,Air Conditioner
Samsung DB94-04236D Assembly Tray Drain Pump,DB94-04236D,232.95,https://samsungparts.com/products/db94-04236d,<p>Samsung DB94-04236D Assembly Tray Drain Pump</p>,subcate:Air Conditioner;types:Parts & Accessories;webcat:Parts & Accessories,Air Conditioner
Samsung DB94-00456H Assembly Fan Cross,DB94-00456H,149.95,https://samsungparts.com/products/db94-00456h,"<p>The Samsung DB94-00456H Fan Cross is a reliable and durable part, designed to provide lasting performance. This original replacement part from Samsung guarantees the usual high standards of quality, assuring you of a product that will last for years. Enjoy optimal cooling and renewed efficiency with this genuine fan cross from Samsung Parts. With its superior build quality, this part is the ideal choice for reliable replacement in your device. Whether you need a compatible part for repairs or simply want to keep your device running at peak performance, this genuine Samsung product is sure to get the job done quickly and effectively. Forget about worrying about low quality substitutes- this fan cross is backed by the trusted Samsung name and comes with our assurance that it is built with long-lasting durability in mind.</p>",gmc;havingImg;subcate:Air Conditioner;types:FAN;webcat:FAN,Air Conditioner
Samsung DB92-02873D Main Pcb Assembly,DB92-02873D,200.95,https://samsungparts.com/products/db92-02873d,<p>MAIN PCB ASSEMBLY</p>,gmc;havingImg;subcate:Air Conditioner;types:PCB;webcat:PCB,Air Conditioner
Samsung DB31-00665B Motor Ac Fan,DB31-00665B,128.95,https://samsungparts.com/products/db31-00665b,<p>Samsung DB31-00665B Motor Ac Fan</p>,subcate:Air Conditioner;types:MOTOR FAN;webcat:MOTOR FAN,Air Conditioner
Samsung DB95-04718H Assembly Thermistor-Wire,DB95-04718H,94.95,https://samsungparts.com/products/db95-04718h,<p>Samsung DB95-04718H Assembly Thermistor-Wire</p>,subcate:Air Conditioner;types:Wire;webcat:Wire,Air Conditioner
Samsung DB92-04833B Assembly Pcb Display;Display_D,DB92-04833B,200.95,https://samsungparts.com/products/db92-04833b,<p>ASSEMBLY PCB DISPLAY;DISPLAY_D</p>,gmc;subcate:Air Conditioner;types:PCB;webcat:PCB,Air Conditioner
Samsung DB93-11009A Pcb Assembly Sub-Display,DB93-11009A,85.95,https://samsungparts.com/products/db93-11009a,<p>Samsung DB93-11009A Pcb Assembly Sub-Display</p>,gmc;subcate:Air Conditioner;types:PCB;webcat:PCB,Air Conditioner
Samsung DB92-02894C Cover Assembly Panel,DB92-02894C,95.95,https://samsungparts.com/products/db92-02894c,<p>COVER ASSEMBLY PANEL</p>,subcate:Air Conditioner;types:COVER;webcat:COVER,Air Conditioner
Samsung DB92-03686D Pcb Assembly Inverter,DB92-03686D,346.95,https://samsungparts.com/products/db92-03686d,<p>PCB ASSEMBLY INVERTER</p>,subcate:Air Conditioner;types:PCB;webcat:PCB,Air Conditioner
Samsung DB93-12828E Main Pcb Assembly-In,DB93-12828E,232.95,https://samsungparts.com/products/db93-12828e,"<p>This genuine Samsung replacement main PCB assembly is an essential part for all Samsung TVs. Engineered with high-quality materials, this reliable piece of hardware is designed to last and help keep your TV running smoothly. Its simple installation and intuitive design ensures that it won't be a hassle to replace. Don't settle for anything less than the quality and reliability of a genuine Samsung product.</p>",gmc;havingImg;subcate:Air Conditioner;types:PCB;webcat:PCB,Air Conditioner
Samsung DB92-03526C Pcb Assembly Inverter,DB92-03526C,542.95,https://samsungparts.com/products/db92-03526c,"<p>This top-of-the-line Samsung product is the perfect choice for powering your electronic devices. With its reliable, high-quality components, this PCB assembly inverter will provide long-lasting durability and can survive in the harshest of conditions. It's an Original Part from Samsung, so you know you're getting a true genuine replacement part. Don't settle for anything less than the best when it comes to powering your electronics!</p>",gmc;havingImg;subcate:Air Conditioner;types:PCB;webcat:PCB,Air Conditioner
Samsung DB31-10119A Motor-Fan Out,DB31-10119A,171.95,https://samsungparts.com/products/db31-10119a,<p>Samsung DB31-10119A Motor-Fan Out</p>,gmc;havingImg;subcate:Air Conditioner;types:MOTOR FAN;webcat:MOTOR FAN,Air Conditioner
Samsung DB92-03337B Pcb Assembly Inverter,DB92-03337B,620.95,https://samsungparts.com/products/db92-03337b,<p>PCB ASSEMBLY INVERTER</p>,subcate:Air Conditioner;types:PCB;webcat:PCB,Air Conditioner
Samsung DB95-05011E Assembly Thermistor In,DB95-05011E,128.95,https://samsungparts.com/products/db95-05011e,<p>Samsung DB95-05011E Assembly Thermistor In</p>,gmc;havingImg;subcate:Air Conditioner;topmovers;types:Sensor/ Thermistor/ Thermostat;webcat:Sensor/Thermistor/Thermostat,Air Conditioner
Samsung DB39-01263A Connect Wire-External,DB39-01263A,22.95,https://samsungparts.com/products/db39-01263a,"<p>This genuine Samsung DB39-01263A CONNECT WIRE-EXTERNAL is the perfect replacement for your existing unit. Crafted with high-quality materials, this external wire connection offers reliable performance and long-lasting durability. With its sleek design and easy installation, this part will provide a seamless integration into your device without any hassle. It is a must-have for anyone who wants to keep their device running smoothly and efficiently. Get the best quality with Samsung Parts today!</p>",gmc;havingImg;subcate:Air Conditioner;types:Connector;webcat:Connector,Air Conditioner
Samsung DB63-02758F Filter Air-Pre,DB63-02758F,50.95,https://samsungparts.com/products/db63-02758f,<p>Samsung DB63-02758F Filter Air-Pre</p>,subcate:Air Conditioner;types:FILTER;webcat:FILTER,Air Conditioner
Samsung DB63-04223A Cover Panel,DB63-04223A,72.95,https://samsungparts.com/products/db63-04223a,<p>Samsung DB63-04223A Cover Panel</p>,subcate:Air Conditioner;types:Parts & Accessories;webcat:Parts & Accessories,Air Conditioner
Samsung DB94-00066A Assembly Bearing,DB94-00066A,41.95,https://samsungparts.com/products/db94-00066a,<p>Samsung DB94-00066A Assembly Bearing</p>,gmc;havingImg;subcate:Air Conditioner;types:Bearing;webcat:Bearing,Air Conditioner
Samsung DB67-01166A Pump Drain,DB67-01166A,147.95,https://samsungparts.com/products/db67-01166a,<p>Samsung DB67-01166A Pump Drain</p>,subcate:Air Conditioner;types:Pump;webcat:Pump,Air Conditioner
Samsung DB31-00665A Motor Ac Fan,DB31-00665A,143.95,https://samsungparts.com/products/db31-00665a,<p>Samsung DB31-00665A Motor Ac Fan</p>,gmc;havingImg;NLA;Not_allowed_to_purchase;subcate:Air Conditioner;types:FAN;webcat:FAN,Air Conditioner
"Samsung DB92-04839A Assembly Pcb Main;Main,Qmd Rac",DB92-04839A,225.95,https://samsungparts.com/products/db92-04839a,"<p>ASSEMBLY PCB MAIN;MAIN,QMD RAC</p>",gmc;havingImg;subcate:Air Conditioner;types:PCB;webcat:PCB,Air Conditioner
Samsung DB92-02861A Assembly Module,DB92-02861A,134.95,https://samsungparts.com/products/db92-02861a,"<p>This Samsung DB92-02861A ASSEMBLY MODULE is a genuine Original Replacement part. Carefully crafted with premium components, this durable module is designed to work perfectly with your device, giving you the same smooth performance and reliability you've come to expect from Samsung products. Enjoy enhanced features, plus a level of precision and reliability that comes with every Original Replacement part.</p>",subcate:Air Conditioner;types:Module;webcat:Module,Air Conditioner
Samsung DB91-00317C Assembly Drain Pan,DB91-00317C,141.95,https://samsungparts.com/products/db91-00317c,<p>Samsung DB91-00317C Assembly Drain Pan</p>,subcate:Air Conditioner;webcat:,Air Conditioner
Samsung DB92-02779A Pcb Assembly Display,DB92-02779A,105.95,https://samsungparts.com/products/db92-02779a,<p>PCB ASSEMBLY DISPLAY</p>,subcate:Air Conditioner;types:PCB;webcat:PCB,Air Conditioner
Samsung DB95-05071A Assembly Thermistor Out,DB95-05071A,133.95,https://samsungparts.com/products/db95-05071a,<p>Samsung DB95-05071A Assembly Thermistor Out</p>,subcate:Air Conditioner;types:Sensor/ Thermistor/ Thermostat;webcat:Sensor/Thermistor/Thermostat,Air Conditioner
Samsung DB94-00119A Assembly Fan Cross,DB94-00119A,116.95,https://samsungparts.com/products/db94-00119a,<p>Samsung DB94-00119A Assembly Fan Cross</p>,subcate:Air Conditioner;types:Parts & Accessories;webcat:Parts & Accessories,Air Conditioner
Samsung DB92-04216A Pcb Assembly Sub,DB92-04216A,123.95,https://samsungparts.com/products/db92-04216a,<p>PCB ASSEMBLY SUB</p>,subcate:Air Conditioner;types:PCB;webcat:PCB,Air Conditioner
Samsung DB93-14643R Assembly Wireless Remote Contr,DB93-14643R,87.95,https://samsungparts.com/products/db93-14643r,<p>Samsung DB93-14643R Assembly Wireless Remote Contr</p>,NLA;Not_allowed_to_purchase;subcate:Air Conditioner;types:Remote Control;webcat:Remote Control,Air Conditioner
Samsung DB62-11206A Valve Coil Expan,DB62-11206A,115.95,https://samsungparts.com/products/db62-11206a,<p>Samsung DB62-11206A Valve Coil Expan</p>,subcate:Air Conditioner;types:VALVE;webcat:VALVE,Air Conditioner
Samsung DB63-01765F Guard-Air Filter,DB63-01765F,87.95,https://samsungparts.com/products/db63-01765f,<p>Samsung DB63-01765F Guard-Air Filter</p>,gmc;havingImg;subcate:Air Conditioner;types:FILTER;webcat:FILTER,Air Conditioner
Samsung DB95-05164A Assembly Thermistor Out,DB95-05164A,88.95,https://samsungparts.com/products/db95-05164a,<p>Samsung DB95-05164A Assembly Thermistor Out</p>,gmc;subcate:Air Conditioner;types:Sensor/ Thermistor/ Thermostat;webcat:Sensor/Thermistor/Thermostat,Air Conditioner
Samsung DB67-00243A Fan Propeller,DB67-00243A,114.95,https://samsungparts.com/products/db67-00243a,<p>Samsung DB67-00243A Fan Propeller</p>,subcate:Air Conditioner;types:FAN;webcat:FAN,Air Conditioner
Samsung DB95-05011C Assembly Thermistor In,DB95-05011C,67.95,https://samsungparts.com/products/db95-05011c,<p>Samsung DB95-05011C Assembly Thermistor In</p>,gmc;havingImg;subcate:Air Conditioner;types:Sensor/ Thermistor/ Thermostat;webcat:Sensor/Thermistor/Thermostat,Air Conditioner
Samsung DB95-01990F Assembly Thermistor In,DB95-01990F,85.95,https://samsungparts.com/products/db95-01990f,"<p>The Samsung DB95-01990F Assembly Thermistor In is designed to ensure optimal performance and reliability in any application making it a great addition to any home or office environment. With its superior build quality, you can trust that this thermistor will provide a long-lasting, reliable performance. It features Samsung's original part technology so you can be certain that it meets the highest standards. The thermistor also includes a genuine replacement part option, allowing for easy installation and repair of existing components with minimal effort. With its contemporary design and trusted brand name, you can count on the Samsung DB95-01990F Assembly Thermistor In to provide top-notch performance.</p>",subcate:Air Conditioner;types:Sensor/ Thermistor/ Thermostat;webcat:Sensor/Thermistor/Thermostat,Air Conditioner
Samsung DB32-00239A Sensor Temp,DB32-00239A,69.95,https://samsungparts.com/products/db32-00239a,<p>Samsung DB32-00239A Sensor Temp</p>,subcate:Air Conditioner;types:SENSOR;webcat:SENSOR,Air Conditioner
Samsung DB92-02867K Main Pcb Assembly,DB92-02867K,411.95,https://samsungparts.com/products/db92-02867k,<p>MAIN PCB ASSEMBLY</p>,subcate:Air Conditioner;types:PCB;webcat:PCB,Air Conditioner
Samsung DB93-06543K Assembly Bldc Driver,DB93-06543K,242.95,https://samsungparts.com/products/db93-06543k,<p>ASSEMBLY BLDC DRIVER</p>,subcate:Air Conditioner;types:Parts & Accessories;webcat:Parts & Accessories,Air Conditioner
Samsung DB96-09600A Evaperater Asseembly Unit,DB96-09600A,374.95,https://samsungparts.com/products/db96-09600a,<p>Samsung DB96-09600A Evaperater Asseembly Unit</p>,subcate:Air Conditioner;types:Evaporator;webcat:Evaporator,Air Conditioner
Samsung DB92-02829A Assembly Kit,DB92-02829A,324.95,https://samsungparts.com/products/db92-02829a,"<p>Get your hands on this superior assembly kit, made with quality materials and craftsmanship. This Samsung DB92-02829A ASSEMBLY KIT allows you to upgrade your device with ease. It comes with a full compliment of genuine, original parts to ensure that you have the best replacement and upgrade available. Sturdy and reliable, this kit is designed to last, delivering top-notch performance time after time. For those who need reliable and powerful replacement or upgrade parts that won't disappoint - trust Samsung Part with Original Part, Replacement part, Genuine Part Branding.</p>",gmc;havingImg;subcate:Air Conditioner;types:Parts & Accessories;webcat:Parts & Accessories,Air Conditioner
Samsung DB93-07112U Main Pcb Assembly-Out,DB93-07112U,515.95,https://samsungparts.com/products/db93-07112u,"<p>This Samsung DB93-07112U Room Air Conditioner Electronic Control Board Assembly is a replacement part, ensuring the same high performance and genuine quality as the original. With this new assembly, you get reliable performance and an eye-catching design. It's easy to install and built with the highest standards of quality, so you can feel confident in its long lasting durability. Get a better control of your temperature without sacrificing style when you use this Samsung Part with Original Part.</p>",gmc;havingImg;subcate:Air Conditioner;types:MAIN PCB;webcat:MAIN PCB,Air Conditioner
Samsung DB92-02876A Pcb Assembly Display,DB92-02876A,52.95,https://samsungparts.com/products/db92-02876a,<p>PCB ASSEMBLY DISPLAY</p>,gmc;havingImg;subcate:Air Conditioner;types:PCB;webcat:PCB,Air Conditioner
Samsung DB61-00204A Holder-Remote Control,DB61-00204A,11.95,https://samsungparts.com/products/db61-00204a,<p>Samsung DB61-00204A Holder-Remote Control</p>,gmc;havingImg;subcate:Air Conditioner;types:Holder;webcat:Holder,Air Conditioner
Samsung DB92-02873E Main Pcb Assembly,DB92-02873E,173.95,https://samsungparts.com/products/db92-02873e,"<p>This Samsung DB92-02873E MAIN PCB ASSEMBLY is a genuine part from Samsung, designed to keep your device running optimally. This replacement part has been thoroughly tested and certified to provide reliable performance and durability. With this part you can expect superior quality, reliability and performance for your device. No need to settle for anything less than the best with this original Samsung product. Get the most out of your device with this high quality replacement part from Samsung Parts.</p>",gmc;havingImg;subcate:Air Conditioner;types:PCB;webcat:PCB,Air Conditioner
Samsung DB92-03310H Assembly Pcb Main-Out,DB92-03310H,154.95,https://samsungparts.com/products/db92-03310h,<p>Samsung DB92-03310H Assembly Pcb Main-Out</p>,subcate:Air Conditioner;types:Parts & Accessories;webcat:Parts & Accessories,Air Conditioner
